namaSubkategori,kategori
Data Module,5f48a8357b1a810a597f99e3
PH Sensor Module,5f48a8357b1a810a597f99e3
Ultrasonic Module,5f48a8357b1a810a597f99e3
I/O Expansion,5f48a8357b1a810a597f99e3
I2C Module,5f48a8357b1a810a597f99e3
Display Module,5f48a8357b1a810a597f99e3
Fuse Kaca,5f48a8357b1a810a597f99e2
DIP Resettable Fuse,5f48a8357b1a810a597f99e2
SMD Resettable Fuse,5f48a8357b1a810a597f99e2
0410 Inductor,5f48a8357b1a810a597f99e6
Power Inductor,5f48a8357b1a810a597f99e6
SMD0805 Inductor,5f48a8357b1a810a597f99e6
SMD Power Inductor,5f48a8357b1a810a597f99e6
ADC-DAC IC,5f48a8357b1a810a597f99e4
Audio IC,5f48a8357b1a810a597f99e4
CMOS IC,5f48a8357b1a810a597f99e4
Comparator IC,5f48a8357b1a810a597f99e4
Current Source IC,5f48a8357b1a810a597f99e4
Display Driver IC,5f48a8357b1a810a597f99e4
Decoder IC,5f48a8357b1a810a597f99e4
Demultiplexer/Multiplexer,5f48a8357b1a810a597f99e4
DTMF IC,5f48a8357b1a810a597f99e4
EEPROM,5f48a8357b1a810a597f99e4
Waveform Generator,5f48a8357b1a810a597f99e4
Half Bridge Driver,5f48a8357b1a810a597f99e4
Half Bridge Driver-SMD,5f48a8357b1a810a597f99e4
Hall Effect,5f48a8357b1a810a597f99e4
Instrument Amplifier,5f48a8357b1a810a597f99e4
LCD Driver,5f48a8357b1a810a597f99e4
Light To Freq.,5f48a8357b1a810a597f99e4
Motor Driver IC,5f48a8357b1a810a597f99e4
Network IC,5f48a8357b1a810a597f99e4
GRPS/GSM IC,5f48a8357b1a810a597f99e4
OpAmp IC,5f48a8357b1a810a597f99e4
Optocoupler,5f48a8357b1a810a597f99e4
Programmable Osc,5f48a8357b1a810a597f99e4
Phase Control IC,5f48a8357b1a810a597f99e4
PWM IC,5f48a8357b1a810a597f99e4
RTC IC,5f48a8357b1a810a597f99e4
Serial IC,5f48a8357b1a810a597f99e4
Timer IC,5f48a8357b1a810a597f99e4
TOP Series IC,5f48a8357b1a810a597f99e4
TTL IC,5f48a8357b1a810a597f99e4
USB To TTL IC,5f48a8357b1a810a597f99e4
Voltage Converter IC,5f48a8357b1a810a597f99e4
Volt to Freq Converter IC,5f48a8357b1a810a597f99e4
Voltage Regulator,5f48a8357b1a810a597f99e4
Digital Video Recorder,5f48a8357b1a810a597f99e4
Voice Record,5f48a8357b1a810a597f99e4
USB Controller,5f48a8357b1a810a597f99e4
Voltage Translator,5f48a8357b1a810a597f99e4
Atmel MCS51,5f48a8357b1a810a597f99f7
Atmel AVR,5f48a8357b1a810a597f99f7
ST Microcontroller,5f48a8357b1a810a597f99f7
Microchip,5f48a8357b1a810a597f99f7
DC Motor,5f48a8357b1a810a597f99e9
Servo Motor,5f48a8357b1a810a597f99e9
Stepper Motor,5f48a8357b1a810a597f99e9
DIP Oscillator,5f48a8357b1a810a597f99f8
SMD Oscillator,5f48a8357b1a810a597f99f8
Mata Bor,5f48a8357b1a810a597f99ea
Custom PCB,5f48a8357b1a810a597f99ea
Jasa Solder,5f48a8357b1a810a597f99ea
Double Layer Fiber,5f48a8357b1a810a597f99ea
Bahan Kimia,5f48a8357b1a810a597f99ea
PCB Paper,5f48a8357b1a810a597f99ea
Pasta,5f48a8357b1a810a597f99ea
Single Layer Fiber,5f48a8357b1a810a597f99ea
Single CEM,5f48a8357b1a810a597f99ea
Double Layer CEM,5f48a8357b1a810a597f99ea
DryFilm Photoresist,5f48a8357b1a810a597f99ea
Prototype,5f48a8357b1a810a597f99ea
ProjectBoard,5f48a8357b1a810a597f99ea
Timah,5f48a8357b1a810a597f99ea
20mm,5f48a8357b1a810a597f99f9
27mm,5f48a8357b1a810a597f99f9
35mm,5f48a8357b1a810a597f99f9
Switching Power Supply,5f48a8357b1a810a597f99eb
Solar Cell,5f48a8357b1a810a597f99eb
Lithium Battery,5f48a8357b1a810a597f99eb
Lipo Battery,5f48a8357b1a810a597f99eb
Linear Power Supply,5f48a8357b1a810a597f99eb
SPDT,5f48a8357b1a810a597f99ef
DPDT,5f48a8357b1a810a597f99ef
SSR,5f48a8357b1a810a597f99ef
1/8Watt Metal Film,5f48a8357b1a810a597f99ed
1/2Watt Carbon Film,5f48a8357b1a810a597f99ed
1/8Watt Carbon Film,5f48a8357b1a810a597f99ed
1/4Watt Carbon Film,5f48a8357b1a810a597f99ed
2 Watt Carbon Film,5f48a8357b1a810a597f99ed
SMD 0603 Resistor,5f48a8357b1a810a597f99ed
SMD0805 Resistor,5f48a8357b1a810a597f99ed
SMD1206 Resistor,5f48a8357b1a810a597f99ed
SMD0603 Array Resistor,5f48a8357b1a810a597f99ed
1/4 Watt Metal Film,5f48a8357b1a810a597f99ed
Rpack,5f48a8357b1a810a597f99ed
5 Watt Power Resistor,5f48a8357b1a810a597f99ed
10 Watt Power Resistor,5f48a8357b1a810a597f99ed
20 Watt Power Resistor,5f48a8357b1a810a597f99ed
Aluminium Power Resistor,5f48a8357b1a810a597f99ed
Chasis,5f48a8357b1a810a597f99ee
Wheel-Roda,5f48a8357b1a810a597f99ee
SCR,5f48a8357b1a810a597f99ec
TRIAC,5f48a8357b1a810a597f99ec
DIAC,5f48a8357b1a810a597f99ec
Thyristor,5f48a8357b1a810a597f99ec
Doorlock,5f48a8357b1a810a597f99e8
Watervalve,5f48a8357b1a810a597f99e8
LDR,5f48a8357b1a810a597f99e7
Thermistor,5f48a8357b1a810a597f99e7
Atmospheric,5f48a8357b1a810a597f99e7
Magnetic/Compass,5f48a8357b1a810a597f99e7
Color Sensor,5f48a8357b1a810a597f99e7
Current Sensor,5f48a8357b1a810a597f99e7
DOF Sensor,5f48a8357b1a810a597f99e7
Flame Sensor,5f48a8357b1a810a597f99e7
Waterflow Sensor,5f48a8357b1a810a597f99e7
Flex Sensor,5f48a8357b1a810a597f99e7
Fingerprint Sensor,5f48a8357b1a810a597f99e7
IR Sensor,5f48a8357b1a810a597f99e7
Gas Sensor,5f48a8357b1a810a597f99e7
Alcohol Sensor,5f48a8357b1a810a597f99e7
PH Sensor,5f48a8357b1a810a597f99e7
Pressure Sensor,5f48a8357b1a810a597f99e7
Shock Sensor,5f48a8357b1a810a597f99e7
Temperature Sensor,5f48a8357b1a810a597f99e7
Ultrasonic Sensor,5f48a8357b1a810a597f99e7
Weight Sensor,5f48a8357b1a810a597f99e7
PH Module,5f48a8357b1a810a597f99e7
Analog,5f48a8357b1a810a597f99e7
DIP Socket,5f48a8357b1a810a597f99f1
PLCC Socket,5f48a8357b1a810a597f99f1
SO to DIP Socket,5f48a8357b1a810a597f99f1
TQFP To DIP Socket,5f48a8357b1a810a597f99f1
ZIF Socket,5f48a8357b1a810a597f99f1
Spacer Besi,5f48a8357b1a810a597f99f2
Spacer Plastik,5f48a8357b1a810a597f99f2
Plastic Spacer,5f48a8357b1a810a597f99f2
Brass Spacer,5f48a8357b1a810a597f99f2
Membrane Keypad,5f48a8357b1a810a597f99e5
Limit Switch,5f48a8357b1a810a597f99e5
AC Switch,5f48a8357b1a810a597f99e5
DIP Switch,5f48a8357b1a810a597f99e5
Tact Switch,5f48a8357b1a810a597f99e5
Toggle Switch,5f48a8357b1a810a597f99e5
Push Button,5f48a8357b1a810a597f99e5
Multimeter,5f48a8357b1a810a597f99e1
Osciloscope,5f48a8357b1a810a597f99e1
IR Thermometer,5f48a8357b1a810a597f99e1
PH Meter,5f48a8357b1a810a597f99e1
Solder Wick,5f48a8357b1a810a597f99e1
Drill,5f48a8357b1a810a597f99e1
Solder,5f48a8357b1a810a597f99e1
Helping Hand,5f48a8357b1a810a597f99e1
Toolset,5f48a8357b1a810a597f99e1
Tang,5f48a8357b1a810a597f99e1
Pinset,5f48a8357b1a810a597f99e1
Other,5f48a8357b1a810a597f99e1
StepDown,5f48a8357b1a810a597f99f3
General Purpose,5f48a8357b1a810a597f99f4
JFET Transistor,5f48a8357b1a810a597f99f4
MOSFET,5f48a8357b1a810a597f99f4
Power Transistor,5f48a8357b1a810a597f99f4
RF Transistor,5f48a8357b1a810a597f99f4
Audio Transistor,5f48a8357b1a810a597f99f4
3296 Top Adjust,5f48a8357b1a810a597f99f5
3296 Side Adjust,5f48a8357b1a810a597f99f5
3303 SMD Trimpot,5f48a8357b1a810a597f99f5
3386 Side Adjust,5f48a8357b1a810a597f99f5
3386 Top Adjust,5f48a8357b1a810a597f99f5
Linear Potensiometer,5f48a8357b1a810a597f99f5
Plastic Trimpot,5f48a8357b1a810a597f99f5
Potensiometer Geser,5f48a8357b1a810a597f99f5
Logarithmic Mono Potensiometer,5f48a8357b1a810a597f99f5
ET3006 Side Adjust,5f48a8357b1a810a597f99f5
ET3314 SMD Trimpot,5f48a8357b1a810a597f99f5
DIP Varistor,5f48a8357b1a810a597f99fa
SMD Varistor,5f48a8357b1a810a597f99fa
Skun,5f48a8357b1a810a597f99d9
Konektor Nilon,5f48a8357b1a810a597f99d9
Rotary Encoder,5f48a8357b1a810a597f99e7
Kit Arduino,5f48a8357b1a810a597f99e7
Sensor Paket,5f48a8357b1a810a597f99e7
Active Buzzer,5f48a8357b1a810a597f99db
Passive Buzzer,5f48a8357b1a810a597f99db
MCS51 Minimum System,5f48a8357b1a810a597f99df
Speaker,5f48a8357b1a810a597f99e3
Sensor Module,5f48a8357b1a810a597f99e3
Power Supply ,5f48a8357b1a810a597f99e3
Radio Module,5f48a8357b1a810a597f99e3
Keypad Detector,5f48a8357b1a810a597f99e4
Score Board,5f48a8357b1a810a597f99fb
Led Strip,5f48a8357b1a810a597f99e0
Serial ( TTL UART ) To RS485,5f48a8357b1a810a597f99e3
WAter Sensor,5f48a8357b1a810a597f99e7
Case Acrylic Transparant Arduino Uno R3,5f48a8357b1a810a597f99f6
Aksesoris Kabel ,5f48a8357b1a810a597f99dd
dd,5f48a8357b1a810a597f99d8
cc,5f48a8357b1a810a597f99db
